START	END
6FC09	6FF02
6FC09	6FE02
6FC11	6FE02
6FC11	6FF02
6FC12	6FE02
6FC12	6FF02
6FD02	6FE02
6FD02	6FF02
6FD05	6FE02
6FD05	6FF02
6FD09	6FE02
6FD09	6FF02
6FD12	6FF02
6FD12	6FE02
6FE02	6FC11
6FE02	6FC08
6FE02	6FI07
6FE02	6FI11
6FE02	6FH05
6FE02	6FH09
6FE02	6FG09
6FE02	6FG02
6FE02	6FG05
6FE02	6FD12
6FE02	6FD09
6FE02	6FD05
6FE02	6FD02
6FE02	6FC05
6FE02	6FC09
6FE02	6FB07
6FE02	6FB11
6FE02	6FJ04
6FE02	6FI02
6FE02	6FH12
6FE02	6FH02
6FE02	6FC12
6FE02	6FC02
6FE02	6FB02
6FE02	6FA04
6FE12	6FF12
6FE21	6FF12
6FF02	6FC11
6FF02	6FC08
6FF02	6FI07
6FF02	6FI11
6FF02	6FH05
6FF02	6FH09
6FF02	6FG09
6FF02	6FG05
6FF02	6FG02
6FF02	6FD12
6FF02	6FD09
6FF02	6FD02
6FF02	6FD05
6FF02	6FC05
6FF02	6FC09
6FF02	6FB07
6FF02	6FB11
6FF02	6FJ04
6FF02	6FI02
6FF02	6FH12
6FF02	6FH02
6FF02	6FC02
6FF02	6FC12
6FF02	6FB02
6FF02	6FA04
6FF12	6FE21
6FF12	6FE12
6FG02	6FF02
6FG02	6FE02
6FG05	6FF02
6FG05	6FE02
6FG09	6FF02
6FG09	6FE02
6FH02	6FE02
6FH02	6FF02
6FH05	6FF02
6FH05	6FE02
6FH09	6FE02
6FH09	6FF02
6FH12	6FF02
6FH12	6FE02
6FI02	6FE02
6FI02	6FF02
6FI07	6FE02
6FI07	6FF02
6FI11	6FF02
6FI11	6FE02
6FJ04	6FF02
6FJ04	6FE02
7FA06	7FD07
7FB07	7FD07
7FC05	7FG05
7FC06	7FD07
7FC06	7FD07
7FC06	7FD07
7FC06	7FD07
7FD07	7FF04
7FD07	7FF04
7FD07	7FE06
7FD07	7FE06
7FD07	7FC06
7FD07	7FC06
7FD07	7FC06
7FD07	7FC06
7FD07	7FB07
7FD07	7FA06
7FD08	2FM01
7FD08	2FM01
7FD08	2FM01
7FD08	2FM01
7FD08	1FM01
7FD08	1FM01
7FD08	1FM01
7FD08	1FM01
7FD08	1FM01
7FD10	5FM02
7FD10	5FM02
7FD10	4FM02
7FD10	4FM02
