POSITION	LABEL	NAME
2FM01	FC902555	D-2FM01-U23
2FM01	FC902556	D-2FM01-U25
2FM01	FC902558	D-2FM01-U29
2FM01	FC902559	D-2FM01-U31
2FM01	FC902560	D-2FM01-U33
2FM01	FC902561	D-2FM01-U35
2FM03	FC902568	D-2FM03-U33
2FM03	FC902569	D-2FM03-U35
2FM03	FC902570	D-2FM03-U37
2FM03	FC902571	D-2FM03-U39
2FM04	FC902572	D-2FM04-U34
2FM04	FC902573	D-2FM04-U36
2FM04	FC902574	D-2FM04-U38
2FM04	FC902575	D-2FM04-U40
2FX01	FC903341	D-2FX01-U37
2FX03	FC903325	D-2FX03-U38
2FX05	FC903733	D-2FX05-U38
2FX06	FC903729	D-2FX06-U35
2FX07	FC903727	D-2FX07-U38
2FX08	FC903723	D-2FX08-U36
2FX09	FC903717	D-2FX09-U29
2FX09	FC903716	D-2FX09-U31
2FX09	FC903721	D-2FX09-U38
2FX10	FC903710	D-2FX10-U20
2FX11	FC903597	D-2FX11-U38
2FX12	FC903599	D-2FX12-U35
2FX13	FC903693	D-2FX13-U38
2FX14	FC903685	D-2FX14-U18
2FX14	FC903686	D-2FX14-U29
2FX14	FC903688	D-2FX14-U31
2FX14	FC903690	D-2FX14-U34
2FX15	FC903584	D-2FX15-U24
2FX15	FC903585	D-2FX15-U26
2FX15	FC903588	D-2FX15-U38
2FX16	FC903592	D-2FX16-U23
2FX17	FC903618	D-2FX17-U29
2FX17	FC903619	D-2FX17-U31
2FX17	FC903620	D-2FX17-U32
2FX17	FC903621	D-2FX17-U34
2FX17	FC903622	D-2FX17-U35
2FX17	FC903623	D-2FX17-U37
2FX17	FC903624	D-2FX17-U38
2FX17	FC903625	D-2FX17-U40
2FX18	FC903608	D-2FX18-U29
2FX18	FC903609	D-2FX18-U31
2FX18	FC903610	D-2FX18-U32
2FX18	FC903611	D-2FX18-U34
2FX18	FC903612	D-2FX18-U35
2FX18	FC903613	D-2FX18-U37
2FX18	FC903614	D-2FX18-U38
2FX18	FC903615	D-2FX18-U40
3FB03	FC904376	D-3FB03-T1
3FC01	FC904866	D-3FC01-T1
3FC05	FC904874	D-3FC05-T1
3FC08	FC904883	D-3FC08-T1
3FD03	FC904733	D-3FD03-T1
3FD06	FC904727	D-3FD06-T1
3FE09	FC904061	D-3FE09-U33
3FE09	FC904551	D-3FE09-U35
3FE09	FC904062	D-3FE09-U36
3FE09	FC904063	D-3FE09-U38
3FE09	FC904064	D-3FE09-U39
3FE09	FC904065	D-3FE09-U41
3FE09	FC904066	D-3FE09-U42
3FE09	FC904067	D-3FE09-U44
3FF09	FC904016	D-3FF09-U32
3FF09	FC904017	D-3FF09-U33
3FF09	FC904015	D-3FF09-U35
3FF09	FC904014	D-3FF09-U36
3FF09	FC904013	D-3FF09-U38
3FF09	FC904010	D-3FF09-U42
3FG03	FC904452	D-3FG03-T1
3FG06	FC904446	D-3FG06-T1
3FH01	FC904474	D-3FH01-T1
3FH05	FC904465	D-3FH05-T1
